1, 51 78 71 46 74 76 2 6 25 28 32 67 9 65 64 17 63 36 38 47 8 59 26 73 4 50 54 70 18 75 5 79 40 16 12 7 77 68 58 11 45 55 14 43 30 72 49 23 69 21 27 1 35 31 66 42 41 20 19 3 10 24 37 48 60 56 61 34 15 29 52 33 39 57 62 53 22 13 
2, 47 78 72 45 75 76 2 6 24 29 33 67 8 63 65 15 62 36 42 46 7 56 26 73 4 51 53 69 19 74 5 79 39 20 10 11 77 68 58 12 48 55 16 43 30 71 52 25 70 17 27 1 38 31 64 44 40 21 18 3 9 23 37 50 60 57 61 32 14 28 54 34 35 59 66 49 22 13 
3, 48 77 72 45 76 75 2 6 24 26 31 67 8 64 66 17 63 36 42 46 7 57 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 68 59 13 47 55 15 43 30 71 51 25 70 20 27 1 38 32 65 44 41 19 21 3 9 22 37 50 61 56 60 33 14 28 53 35 34 58 62 49 23 12 
4, 48 76 72 45 77 75 2 6 25 26 30 66 9 64 67 15 63 37 43 46 7 57 29 73 4 52 54 69 17 74 5 79 39 18 11 10 78 68 58 12 47 55 16 42 31 71 50 24 70 19 27 1 38 32 65 41 44 20 21 3 8 23 35 51 60 56 61 33 14 28 53 36 34 59 62 49 22 13 
5, 47 77 71 46 75 76 2 6 26 27 29 67 9 64 63 16 62 36 43 45 7 56 30 73 4 52 54 69 18 74 5 79 37 17 13 10 78 68 59 11 51 55 15 42 31 72 49 24 70 19 28 1 39 33 65 44 41 20 21 3 8 22 38 50 61 57 60 32 14 25 53 34 35 58 66 48 23 12 
6, 48 77 73 46 76 75 2 6 25 27 32 67 7 63 68 15 65 37 44 47 8 56 26 72 4 51 55 69 18 74 5 79 39 16 9 11 78 66 61 12 49 54 17 43 30 71 50 24 70 20 29 1 38 36 62 42 41 19 21 3 10 23 33 52 60 57 59 31 14 28 53 34 35 58 64 45 22 13 
7, 48 77 72 45 76 75 2 6 24 27 31 67 7 64 66 17 62 36 42 46 8 57 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 68 59 12 47 55 15 43 30 71 51 25 70 19 28 1 38 32 65 44 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 35 34 58 63 49 23 13 
8, 49 77 72 46 76 75 2 6 25 28 33 68 7 65 66 17 61 34 42 47 10 58 29 73 4 52 55 69 18 74 5 79 40 14 11 9 78 67 59 12 50 56 16 41 30 71 48 24 70 19 26 1 38 31 64 43 44 21 20 3 8 22 37 51 62 54 60 32 15 27 53 35 36 57 63 45 23 13 
9, 49 76 71 45 77 75 2 6 24 27 33 66 8 64 67 17 62 36 42 46 7 57 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 68 59 12 48 55 15 44 30 72 51 25 70 20 28 1 38 31 65 43 41 19 21 3 9 23 37 50 61 56 60 32 14 26 53 34 35 58 63 47 22 13 
10, 48 77 72 45 76 75 2 6 26 27 31 67 8 63 66 16 62 35 41 46 7 57 29 73 4 52 54 69 18 74 5 79 39 17 11 10 78 68 59 13 47 55 15 43 30 71 51 24 70 19 28 1 38 32 65 44 42 20 21 3 9 22 37 50 61 56 60 33 14 25 53 34 36 58 64 49 23 12 
11, 48 77 72 45 76 75 2 6 24 28 31 68 8 64 66 15 62 36 42 46 7 57 29 73 4 53 54 69 18 74 5 79 39 17 11 10 78 67 59 13 47 55 16 43 30 71 51 25 70 19 27 1 38 32 65 44 41 20 21 3 9 22 37 50 61 56 60 33 14 26 52 35 34 58 63 49 23 12 
12, 45 77 73 50 75 76 2 6 22 27 32 67 9 66 65 15 64 37 42 46 10 58 31 72 4 49 53 70 19 74 5 79 39 18 12 7 78 69 60 16 48 55 13 40 29 71 51 26 68 20 24 1 34 30 63 41 44 17 21 3 8 23 35 52 59 56 62 33 14 28 54 36 38 57 61 47 25 11 
13, 48 77 72 46 76 75 2 6 24 26 32 66 7 64 63 17 65 36 41 47 11 57 29 74 4 49 55 69 18 73 5 79 38 15 13 9 78 68 59 12 52 56 16 44 30 71 50 25 70 20 28 1 39 31 62 42 43 19 21 3 8 23 37 51 60 54 61 34 14 27 53 35 33 58 67 45 22 10 
14, 45 75 72 46 77 76 3 6 24 26 31 69 8 66 63 16 61 35 44 48 10 56 30 73 4 52 55 68 18 74 5 79 37 19 9 11 78 67 59 13 49 54 15 41 29 71 51 25 70 17 28 1 34 32 65 40 43 21 20 2 7 22 33 50 62 57 60 36 14 27 53 38 39 58 64 47 23 12 
15, 46 77 71 47 76 75 2 6 24 28 30 69 8 65 64 15 63 37 43 45 7 57 29 74 4 53 54 68 17 73 5 79 38 18 11 9 78 67 58 14 49 55 16 42 31 72 51 25 70 19 26 1 39 34 66 44 40 20 21 3 10 22 33 48 61 56 60 32 13 27 52 36 35 59 62 50 23 12 
16, 47 76 72 44 78 75 2 7 24 29 30 61 9 67 68 13 62 33 46 42 5 57 37 74 4 53 52 71 16 73 6 79 35 19 12 8 77 65 60 11 55 54 18 41 36 70 48 27 69 23 25 1 38 26 64 43 45 17 20 3 10 21 34 49 63 56 59 28 14 32 50 39 31 58 66 51 22 15 
17, 48 76 71 45 77 75 2 6 25 28 32 67 8 65 63 17 62 37 41 46 7 56 29 73 4 50 55 69 18 74 5 79 38 16 11 10 78 68 58 13 47 54 15 44 31 72 52 27 70 19 24 1 39 30 66 42 43 20 21 3 9 22 36 51 61 57 60 33 14 26 53 34 35 59 64 49 23 12 
18, 48 77 72 45 75 76 2 6 24 26 32 67 8 64 66 17 62 36 43 46 7 56 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 68 59 12 47 55 15 41 30 71 50 25 70 19 27 1 38 33 65 44 42 20 21 3 9 22 37 51 61 57 60 31 14 28 53 34 35 58 63 49 23 13 
19, 48 77 72 45 75 76 2 6 24 28 31 67 7 64 66 16 62 36 42 46 8 57 29 73 4 52 54 69 18 74 5 79 39 17 11 10 78 68 59 12 47 55 15 43 30 71 51 25 70 19 26 1 38 32 65 44 41 20 21 3 9 22 37 50 61 56 60 33 14 27 53 35 34 58 63 49 23 13 
20, 48 76 72 45 77 75 2 6 24 26 31 67 8 63 66 17 62 36 42 46 7 56 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 68 59 12 47 55 15 43 30 71 50 25 70 19 27 1 38 32 65 44 41 20 21 3 9 22 37 51 61 57 60 33 14 28 53 35 34 58 64 49 23 13 
21, 48 77 72 45 76 75 2 6 24 27 31 67 7 62 66 17 64 36 41 46 8 57 29 73 4 52 54 69 18 74 5 79 38 16 11 10 78 68 59 12 47 55 15 43 30 71 51 25 70 19 28 1 39 32 65 44 42 20 21 3 9 22 37 50 61 56 60 33 14 26 53 34 35 58 63 49 23 13 
22, 48 77 72 45 76 75 2 6 25 27 31 67 8 64 66 16 63 36 42 46 7 57 29 73 4 52 54 69 18 74 5 79 38 17 11 10 78 68 59 12 47 55 15 43 30 71 51 24 70 19 28 1 39 32 65 44 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 34 35 58 62 49 23 13 
23, 46 76 72 47 77 75 2 6 25 28 32 67 8 62 66 17 64 36 43 45 7 56 29 74 4 52 55 69 18 73 5 79 39 16 11 9 78 68 59 13 50 54 14 42 30 71 51 24 70 19 27 1 38 31 65 44 41 20 21 3 10 23 37 48 61 57 60 33 15 26 53 34 35 58 63 49 22 12 
24, 51 78 71 47 76 74 3 9 23 25 32 63 11 69 70 13 64 31 39 46 8 57 28 73 4 52 55 68 18 75 6 77 34 15 16 12 79 66 62 7 50 54 19 43 30 72 49 27 67 21 29 1 37 35 65 38 45 22 20 2 5 17 42 48 58 56 61 36 10 24 53 33 40 59 60 44 26 14 
25, 48 77 72 45 76 75 2 6 24 27 31 67 8 63 66 17 64 36 44 46 7 57 29 73 4 52 54 69 18 74 5 79 39 16 11 10 78 68 59 13 47 55 15 42 30 71 51 25 70 19 28 1 38 32 65 43 41 20 21 3 9 22 37 50 61 56 60 33 14 26 53 34 35 58 62 49 23 12 
